EmpID,ProjectID,DateFrom,DateTo
1,101,2022-01-01,2023-06-30
2,101,2022-03-01,2023-08-31
1,102,2023-01-01,2024-06-30
2,102,2023-04-01,2024-09-30
3,201,2021-05-15,2023-12-31
4,201,2021-06-01,2024-01-31
5,301,2024-01-10,2024-06-20
6,301,2024-01-15,2024-07-01
7,401,2023-03-01,2023-09-15
8,401,2023-03-10,2023-09-20
9,501,2024-07-01,NULL
10,501,2024-07-05,NULL
11,601,2023-11-01,2024-03-31
12,601,2023-11-15,2024-04-15
13,701,2022-06-01,2022-12-31
14,701,2022-07-01,2023-01-31
15,801,2024-02-01,NULL
16,801,2024-02-10,NULL
17,901,2023-05-01,2023-10-31
18,901,2023-05-05,2023-11-10
19,1001,2022-09-01,2023-02-28
20,1001,2022-09-15,2023-03-15
21,1101,2024-04-01,NULL
22,1101,2024-04-05,NULL
23,1201,2023-08-01,2024-01-31
24,1201,2023-08-10,2024-02-10
25,1301,2022-11-01,2023-04-30
26,1301,2022-11-05,2023-05-05
27,1401,2024-03-01,NULL
28,1401,2024-03-05,NULL
29,1501,2023-06-01,2023-12-31
30,1501,2023-06-10,2024-01-10
31,1,2024-01-01,2024-03-31
32,1,2024-02-01,2024-04-30
33,2,2023-07-01,2023-10-31
34,2,2023-08-01,2023-11-30
35,3,2024-05-01,NULL
36,3,2024-05-10,NULL
37,4,2022-03-01,2022-09-30
38,4,2022-04-01,2022-10-31
39,5,2024-02-15,2024-06-30
40,5,2024-02-20,2024-07-15
41,6,2023-10-01,2024-02-29
42,6,2023-10-05,2024-03-05
43,7,2022-01-01,2022-05-31
44,7,2022-01-10,2022-06-10
45,8,2024-06-01,NULL
46,8,2024-06-05,NULL
47,9,2023-04-01,2023-08-31
48,9,2023-04-15,2023-09-15
49,10,2024-01-01,2024-04-30
50,10,2024-01-05,2024-05-05
51,11,2023-02-01,2023-07-31
52,11,2023-02-10,2023-08-10
53,12,2024-03-10,NULL
54,12,2024-03-15,NULL
55,13,2022-05-01,2022-11-30
56,13,2022-05-15,2022-12-15
57,14,2024-07-01,2024-10-31
58,14,2024-07-05,2024-11-05
59,15,2023-01-20,2023-06-30
60,15,2023-01-25,2023-07-05
61,16,2024-08-01,NULL
62,16,2024-08-05,NULL
63,17,2022-10-01,2023-03-31
64,17,2022-10-10,2023-04-10
65,18,2024-05-10,2024-09-30
66,18,2024-05-15,2024-10-05
67,19,2023-03-01,2023-08-31
68,19,2023-03-05,2023-09-05
69,20,2024-02-01,NULL
70,20,2024-02-05,NULL
71,21,2022-07-01,2022-12-31
72,21,2022-07-10,2023-01-10
73,22,2024-04-10,2024-08-31
74,22,2024-04-15,2024-09-05
75,23,2023-09-01,2024-02-29
76,23,2023-09-05,2024-03-05
77,24,2024-01-15,NULL
78,24,2024-01-20,NULL
79,25,2022-02-01,2022-07-31
80,25,2022-02-05,2022-08-05
81,26,2024-06-10,2024-11-30
82,26,2024-06-15,2024-12-05
83,27,2023-08-01,2024-01-31
84,27,2023-08-05,2024-02-05
85,28,2024-03-20,NULL
86,28,2024-03-25,NULL
87,29,2022-04-01,2022-09-30
88,29,2022-04-05,2022-10-05
89,30,2024-07-20,2024-12-31
90,30,2024-07-25,2025-01-05
91,31,2023-05-15,2023-11-15
92,31,2023-05-20,2023-11-20
93,32,2024-08-10,NULL
94,32,2024-08-15,NULL
95,33,2022-09-01,2023-02-28
96,33,2022-09-05,2023-03-05
97,34,2024-04-20,2024-09-20
98,34,2024-04-25,2024-09-25
99,35,2023-01-01,2023-06-30
100,35,2023-01-05,2023-07-05
